id_marca,nombre
483,CROSS ROADS 8-BALL
483,CROSS ROADS CLASSIC
483,CROSS COUNTRY 8-BALL
483,CROSS COUNTRY
483,NESS CROSS COUNTRY
483,VISION TOUR
483,CROSS COUNTRY TOUR
483,CROSS COUNTRY TOUR ANNIVERSARY
483,VEGAS 8-BALL
483,HIGH-BALL
483,HAMMER 8-BALL
483,BOARDWALK
483,JACKPOT
483,JUDGE
483,ZACH NESS CROSS COUNTRY
483,HARD-BALL
483,NESS VISION
483,CORY NESS CROSS COUNTRY TOUR
484,CHIEF CLASSIC
484,CHIEF VINTAGE
484,CHIEFTAIN
532,F2 PLUS
532,SUPER F2
532,SUPER F1
532,SUPER F3
532,BVX 125
532,BVX 130 STREET
532,BVX 150 S1
532,TR 150 D6
532,AX 200
532,BVX 200
532,BX 260
532,BR 250 D1
532,CARGO 260
534,BIZ
534,CB 300R
534,CB 400
534,CB 500
534,CB 600 HORNET
534,CBR 1000F
534,FIREBLADE CBR
534,CBR 450
534,CBR 600
534,TWISTER CBX 250
534,CBX 750F
534,CG FAN
534,CG TITAN
534,AMERICA
534,CB 1000R
534,CB 1300
534,SUPERBLACKBIRD CBR 1100XX
534,CBR 250
534,AERO CBX 150
534,STRADA CBX 200
534,CH 125R
534,CR 85
534,GL GOLD WING
534,LEAD
534,MAGNA VF 750C
534,NX 200/250
534,NX 350 SAHARA
534,NX 400 FALCON
534,NXR BROS
534,POP 100
534,SUPER HAWK
534,TRX
534,VALKYRIE
534,VFR 1200
534,VTX
534,VARADERO XL 1000V
534,XL
534,XL 700V TRANSALP
534,XLR
534,XLX
534,VLR 350
534,XR
534,TORNADO XR 250
534,XRE 300
534,SHADOW
534,DREAM
534,HERO
534,NC 700X
534,CRF 110/150
534,FURY
534,STUNNER
534,CB 50
534,BOLDOR CB 900
534,CBF 600
534,CBR 400RR
534,CBX 1000
534,CD 125
534,ML 125
534,NSR 500
534,RC
534,PAN-EUROPEAN ST
534,TURUNA 125
534,VTR
534,AFRICA TWIN XRV 750
534,CG CARGO/JOB
534,PC 50
534,CG 125
534,PACIFIC COAST
534,CG TODAY
534,CB 125
534,DUTY
534,PCX
534,CRF 230/250
534,CRF 450
534,NX 650 DOMINATOR
534,CR 250
534,CR 125
